Experiment,Item,Condition,Condition_ID,quantifier,scenario,n_quantifier,n_target_objects,shape_noun,color_adjective1_zh,color_adjective2_zh,Sentence_chinese,Expected_answer_zh,list,target_objects,Form_left,colour1_left,n_colour1_left,colour2_left,n_colour2_left,Form_right,colour1_right,n_colour1_right,colour2_right,n_colour2_right,Image,Type
ESQ,9,2,2,less,empty_scope,4.0,7.0,triangle,红色的,,少于四个三角形是红色的吗？,是的，没错,2,right,square,red,5,purple,2,triangle,red,0,purple,7,pic9_empty_scope.svg,Trial
Filler,1008,10,10,,psp_failure_definite_filler,,,Dreieck,绿色的,,这个三角形是绿色的吗？,奇怪的问题,all_lists,right,square,green,1,black,0,triangle,green,2,black,1,pic107_psp_violation_target_right.svg,Trial
ESQ,9,1,9,every,empty_restrictor,4.0,7.0,triangle,红色的,,每个三角形都是红色的吗？,奇怪的问题,3,right,square,red,5,purple,2,circle,red,3,purple,4,pic9_empty_restrictor.svg,Trial
ESQ,4,3,11,every,small_control,4.0,7.0,cross,棕色的,,每个十字架都是棕色的吗？,不，不是真的,4,right,square,brown,1,green,5,cross,brown,2,green,5,pic4_small_control.svg,Trial
ESQ,15,2,10,every,empty_scope,3.0,5.0,circle,蓝色的,,每个三角形都是蓝色的吗？,不，不是真的,2,left,triangle,blue,0,yellow,5,square,blue,5,yellow,3,pic15_empty_scope.svg,Trial
DIST,101,2,6,every,target_target_left,,,Dreieck,红色的,蓝色的,每个三角形是蓝色还是红色？,是的，没错,3;4,left,triangle,red,0,blue,7,square,red,2,blue,2,pic101_target_target_left.svg,Trial
DIST,105,2,6,every,target_target_left,,,Kreis,黑色的,灰色的,每个圆圈是灰色还是黑色？,是的，没错,3;4,left,circle,black,0,grey,8,triangle,black,4,grey,1,pic105_target_target_left.svg,Trial
DIST,104,3,7,every,true_control_target_left,,,Kreuz,粉色的,黑色的,每个十字架都是黑色还是粉色？,是的，没错,1;2,left,cross,pink,4,black,3,square,pink,4,black,5,pic104_true_control_target_left.svg,Trial
ESQ,2,4,4,less,large_control,4.0,7.0,circle,橙子,,少于四个圆圈是橙色的吗？,不，不是真的,1,right,heart,orange,4,pink,5,circle,orange,7,pink,0,pic2_large_control.svg,Trial
Filler,1013,10,10,,psp_failure_both,,,Kreuze,紫色的,,这两个十字都是紫色的吗？,奇怪的问题,all_lists,right,square,purple,1,brown,1,cross,purple,1,brown,4,pic5_empty_restrictor.svg,Trial
DIST,106,4,4,every,false_control_target_right,,,Dreieck,黄色的,蓝色的,每个三角形是黄色还是蓝色？,不，不是真的,3;4,right,square,red,2,blue,2,triangle,red,3,blue,3,pic106_false_control_target_right.svg,Trial
Filler,404,2,2,,at_most_zero,,,Quadrate,黑色的,,最多会有两个黑方块吗？,是的，没错,all_lists,right,cross,black,4,yellow,2,square,black,0,yellow,10,pic304_einige_all.svg,Trial
Filler,1003,10,10,,psp_failure_definite_filler,,,Dreieck,蓝色的,,这个三角形是蓝色的吗？,奇怪的问题,all_lists,left,circle,blue,1,yellow,0,square,blue,0,yellow,1,pic1_empty_scope.svg,Trial
DIST,105,3,3,every,true_control_target_right,,,Kreis,黑色的,灰色的,每个圆圈是黑色还是灰色？,是的，没错,1;2,left,circle,black,6,grey,2,triangle,black,4,grey,1,pic105_true_control_target_right.svg,Trial
ESQ,7,2,10,every,empty_scope,4.0,6.0,square,黑色的,,每个方块都是黑色的吗？,不，不是真的,2,right,heart,orange,3,black,1,square,orange,0,black,6,pic7_empty_scope.svg,Trial
DIST,107,1,1,every,psp_violation_target_right,,,Quadrat,绿色的,黄色的,每个方块是绿色还是黄色？,奇怪的问题,1;2,right,triangle,green,4,yellow,1,circle,green,2,yellow,2,pic107_psp_violation_target_right.svg,Trial
Filler,1007,10,10,,psp_failure_definite_filler,,,Kreis,紫色的,,这个圆是紫色的吗？,奇怪的问题,all_lists,right,triangle,purple,3,grey,3,circle,purple,3,grey,1,pic5_empty_restrictor.svg,Trial
